,OBJECTID,COMPKEY,UNITID,UNITDESC,CONDITION,CONDITION_ASSESSMENT_DATE,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,COMPTYPE,SEGKEY,UNITTYPE,OWNERSHIP,CURRENT_STATUS_DATE,LAST_VERIFY_DATE,PLANTED_DATE,BOTANICAL_NAME,SCIENTIFIC_NAME,HERITAGE,EXCEPTIONAL,CODEREQ,GSI,GREEN_FACTOR,WIRES,CABLED,CLEARANCE_PROBLEM,SPACETYPE,SITETYPE,GROWSPACE,DIAM,CONDITION_RATING,FUNDING_SOURCE,WATER_THROUGH_YR1,WATER_THROUGH_YR2,WATER_THROUGH_YR3,OWNERDIAM,EXPDATE,COMMON_NAME,TREEHEIGHT,ASBUILTPLANNO,LANDSCAPEAREAASSOC,COMMENTS,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT,IRRIGATESYSYN,ASSETGROUPID,ASSETGROUPDESC,MODDATE,TOTAL_RANK,TOTAL_COUNT,GENUS,UFMAINTMGMTUNIT,x,y
0,157240769,572218,TRE-1047689,5416 40TH AVE SW,,,INSVC,DISTRICT1,,N,36,6376,TRE,PRIV,,8/20/2019 12:00:00 AM,5/23/2008 12:00:00 AM,TRFO,Trachycarpus fortunei,Y,N,N,N,N,N,N,N,,,99.0,9.0,3.0,PVT,0,0,0,PRIV1,,Chinese Fan (Windmill) Palm,35.0,,1,Crown spread 9?,,-122.382727194489,47.5532103630153,N, , ,8/20/2019 12:00:00 AM,53.0,395.0,Trachycarpus,1.0,1257839.10429281,205645.964166626
1,157240772,572163,TRE-1047670,4999 NE 93RD ST,GOOD,,INSVC,DISTRICT5,,N,36,17867,TRE,PARK,,7/18/2019 12:00:00 AM,2/5/2010 12:00:00 AM,TABR,Taxus brevifolia,Y,N,N,N,N,N,N,N,,,99.0,24.0,,PARKS,0,0,0,PARK3,,Pacific Yew,45.0,,1,Crown spread 35,,-122.274269412808,47.6968882905249,N, , ,7/15/2022 12:00:00 AM,66.0,179.0,Taxus,18.0,1285597.58227323,257525.204859748
2,157257050,613112,TRE-1054329,1231 NW 122ND ST,,,REMOVED,DISTRICT5,,N,36,18219,TRE,PRIV,7/10/2019 12:00:00 AM,11/1/2013 12:00:00 AM,1/1/2013 12:00:00 AM,LIST,Liquidambar styraciflua,Y,N,N,N,N,N,N,N,,,0.0,25.0,4.0,PVT,0,0,0,PRIV3,7/10/2019 12:00:00 AM,Sweetgum,0.0,,1,Informed by Laura Rothenberger that the tree got blown down in a wind storm in 2013,,-122.373192530647,47.717934859423,N, , ,9/18/2019 12:00:00 AM,15.0,3531.0,Liquidambar,19.0,1261395.29930446,265672.503556088
3,157240764,572267,TRE-1047718,2644 NW 60TH ST,GOOD,,INSVC,DISTRICT6,,N,36,3893,TRE,PARK,,7/24/2019 12:00:00 AM,5/7/2010 12:00:00 AM,PLAC,Platanus x acerifolia,Y,N,N,N,N,N,N,N,,,99.0,76.0,,PARKS,0,0,0,PARK3,,London Plane (Tree),80.0,,1,Crown spread 68?,,-122.39027780423,47.6728386798282,N, , ,7/15/2022 12:00:00 AM,24.0,2064.0,Platanus,23.0,1256857.72009981,249310.918515339
4,157240635,572225,TRE-1047694,8322 DIBBLE AVE NW,GOOD,,INSVC,DISTRICT6,,N,36,10111,TRE,PRIV,,8/13/2019 12:00:00 AM,11/7/2008 12:00:00 AM,THPL,Thuja plicata,Y,N,N,N,N,N,N,N,,,99.0,35.0,,PVT,0,0,0,PRIV3,,Western Red Cedar,80.0,,1,Crown spread 40,,-122.366698785806,47.6898456471914,N, , ,7/15/2022 12:00:00 AM,13.0,4255.0,Thuja,21.0,1262789.32080989,255396.620921567
5,157207849,212331,TRE-44619,720 14TH AVE E,,,INSVC,DISTRICT3,,N,36,1862,TRE,PARK,,8/8/2024 12:00:00 AM,9/19/1990 12:00:00 AM,LIST,Liquidambar styraciflua,Y,N,N,N,N,N,N,N,GRASS,,8.0,27.0,4.0,PARKS,0,0,0,PARK3,,Sweetgum,0.0,,1,"TrunkLean=1, Topped=0, BrnDefect=2, TrnDefect=1, RootProb=0, SurfNote=SPECIMEN IN: `TREES OF SEATTLE`",,-122.314508043498,47.6256839595375,N, , ,8/11/2024 12:00:00 AM,15.0,3531.0,Liquidambar,12.0,1275190.47909458,231745.22921735
6,157240768,572166,TRE-1047672,5706 17TH AVE NE,,,INSVC,DISTRICT4,,N,36,2381,TRE,PRIV,,8/28/2019 12:00:00 AM,7/7/2004 12:00:00 AM,LITU,Liriodendron tulipifera,Y,N,N,N,N,N,N,N,,,99.0,48.0,4.0,PVT,0,0,0,PRIV3,,Tulip Tree,107.0,,1,Crown spread 60?,,-122.309332725756,47.6702398583756,N, , ,9/3/2019 12:00:00 AM,30.0,1265.0,Liriodendron,14.0,1276778.1425842,247970.179697961
7,157261977,572209,TRE-1047684,5000 30TH AVE S,,,REMOVED,DISTRICT2,,N,36,268916,TRE,PRIV,12/15/2015 12:00:00 AM,12/8/2015 12:00:00 AM,11/2/2007 12:00:00 AM,ULAM,Ulmus americana,Y,N,N,N,N,N,N,N,,,99.0,51.0,,,0,0,0,PRIV3,12/15/2015 12:00:00 AM,American (White) Elm,0.0,,1,,,-122.294049654501,47.5570742498516,N, , ,4/27/2019 12:00:00 AM,17.0,3291.0,Ulmus,6.0,1279759.47385126,206626.88851963
8,157240771,572271,TRE-1047721,356 N 84TH ST,,,INSVC,DISTRICT6,,N,36,15943,TRE,PRIV,,7/16/2019 12:00:00 AM,8/6/2010 12:00:00 AM,CEDE,Cedrus deodara,Y,N,N,N,N,N,N,N,,,99.0,48.0,4.0,PVT,0,0,0,PRIV3,,Deodar Cedar,85.0,,1,Crown spread 72?,,-122.352732872368,47.6899253494508,N, , ,7/30/2019 12:00:00 AM,40.0,793.0,Cedrus,22.0,1266228.8808134,255357.469049528
9,157240773,572324,TRE-1047733,100 DEXTER AVE N,,,INSVC,DISTRICT7,,N,36,10071,TRE,PARK,,8/27/2019 12:00:00 AM,5/6/2011 12:00:00 AM,DIVI,Diospyros virginiana,Y,N,N,N,N,N,N,N,,,99.0,18.0,4.0,PARKS,0,0,0,PARK2,,American (common) Persimmon,38.0,,1,Crown spread 38?,,-122.34210773607,47.6190876857895,N, , ,9/2/2019 12:00:00 AM,74.0,133.0,Diospyros,26.0,1268338.67614356,229471.804639027
